ID	title	language	publisher	region	release_date	serial	version
ULES-00953	La Bussola d'Oro	Italian	SEGA	PAL	2007-11-07	ULES-00953	1.00
ULES-00954	La Brújula Dorada	Spanish	SEGA	PAL	2007-11-07	ULES-00954	1.00
ULES-00955	Medal of Honor: Heroes 2	English	Electronic Arts	PAL	2007-10-11	ULES-00955	1.00
ULES-00956	Medal of Honor: Heroes 2	French / German / Italian / Spanish	Electronic Arts	PAL	2007-10-11	ULES-00956	1.00
ULES-00957	Skate Park City	English	Midas Interactive Entertainment	PAL	2007-11-30	ULES-00957	1.02
ULES-00959	Bomberman Land	English / French / German / Italian / Spanish	Rising Star Games	PAL	2007-11-05	ULES-00959	1.00
ULES-00960	MTV Pimp My Ride	English	Activision	PAL	2007-09-19	ULES-00960	1.00
ULES-00963	Off Road	English / French / German / Italian / Spanish	Empire Interactive	PAL	2007-11-28	ULES-00963	1.00
ULES-00968	FlatOut: Head On	English / French / German / Italian / Spanish	N/A	PAL	N/A	ULES-00968	1.00
ULES-00969	FlatOut: Head On	German	Empire Interactive	PAL	2008-01-21	ULES-00969	1.00
ULES-009693027389	FlatOut: Head On / FlatOut Head On	N/A	N/A	PAL	N/A	ULES-009693027389	N/A
ULES-00972	Aliens vs. Predator: Requiem	English	Vivendi Games	PAL	2007-09-20	ULES-00972	1.00
ULES-00973	The Fast and the Furious	English	Koch Media	PAL	2007-10-17	ULES-00973	1.00
ULES-00974	WWII: Battle over the Pacific	English	Midas Interactive Entertainment	PAL	2007-10-07	ULES-00974	1.00
ULES-00975	The Simpsons Game	English	Electronic Arts	PAL	2007-10-03	ULES-00975	1.00
ULES-00976	Les Simpson: Le Jeu	French	Electronic Arts	PAL	2007-10-03	ULES-00976	1.00
ULES-00977	I Simpson: Il Videogioco	Italian	Electronic Arts	PAL	2007-10-03	ULES-00977	1.00
ULES-00978	Die Simpsons: Das Spiel	German	Electronic Arts	PAL	2007-10-03	ULES-00978	1.00
ULES-00979	Los Simpson: El Videojuego	Spanish	Electronic Arts	PAL	2007-10-03	ULES-00979	1.00
ULES-00981	Star Wars: The Force Unleashed	English / Italian / Spanish	Lucas Arts	PAL	2008-05-05	ULES-00981	1.00
ULES-00982	Star Wars: The Force Unleashed	French / German	Lucas Arts	PAL	2008-05-05	ULES-00982	1.00
ULES-00983	Telly Addicts	English	Ubisoft	PAL	2007-09-27	ULES-00983	1.00
ULES-00986	Final Fantasy: 20th Anniversary Edition	English / Japanese	Square Enix	PAL	2007-11-01	ULES-00986	1.00
ULES-00987	Final Fantasy II: 20th Anniversary Edition	English / Japanese	Square Enix	PAL	2007-11-01	ULES-00987	1.00
ULES-00988	Medal of Honor: Heroes 2	English	Electronic Arts	PAL	2007-10-11	ULES-00988	1.00
