ID	title	language	region	release_date	serial
DOL-GEDP-EUR	Eternal Darkness: Sanity's Requiem	English / French / German / Italian / Spanish	PAL	2002	DOL-GEDP-EUR
DOL-GEDW-KOR	Eternal Darkness: Sanity's Requiem	English	NTSC-J	2002	DOL-GEDW-KOR
DOL-GEGJ-JPN	Giant Egg: Billy Hatcher no Daibouken	Japanese	NTSC-J	2003-10-09	DOL-GEGJ-JPN
DOL-GEJJ-JPN	Jikkyou Powerful Pro Yakyuu 11 Chou Ketteiban	Japanese	NTSC-J	2004-12-16	DOL-GEJJ-JPN
DOL-GEME-USA	Egg Mania: Eggstreme Madness	English	NTSC-U	2002-09-11	DOL-GEME-USA
DOL-GEMJ-JPN	Egg Mania: Tsukande! Mawashite! Dossun Puzzle!!	Japanese	NTSC-J	2002-09-27	DOL-GEMJ-JPN
DOL-GEMP-EUR	Eggo Mania	English / French / German	PAL	2002-10-25	DOL-GEMP-EUR
DOL-GEND-NOE	007: Alles oder Nichts	German	PAL	2004-02-27	DOL-GEND-NOE
DOL-GENE-USA	007: Everything or Nothing	English	NTSC-U	2004	DOL-GENE-USA
DOL-GENF-FRA	007: Quitte ou Double	French	PAL	2004-02-27	DOL-GENF-FRA
DOL-GENJ-JPN	007: Everything or Nothing	Japanese	NTSC-J	2004	DOL-GENJ-JPN
DOL-GENP-EUR	007: Everything or Nothing	Dutch / English / Italian / Swedish	PAL	2004	DOL-GENP-EUR
DOL-GENS-ESP	007: Todo o Nada	Spanish	PAL	2004-02-27	DOL-GENS-ESP
DOL-GEOE-USA	Capcom vs. SNK 2 EO	English	NTSC-U	2002-09-23	DOL-GEOE-USA
DOL-GEOJ-JPN	Capcom vs. SNK 2 EO	Japanese	NTSC-J	2002-07-04	DOL-GEOJ-JPN
DOL-GEOP-EUR	Capcom vs. SNK 2 EO: Millionaire Fighting 2001	English	PAL	2002-08-30	DOL-GEOP-EUR
DOL-GESE-USA	Evolution Skateboarding	English	NTSC-U	2002-11-17	DOL-GESE-USA
DOL-GESJ-JPN	Evolution Skateboarding	Japanese	NTSC-J	2002-11-17	DOL-GESJ-JPN
DOL-GESP-EUR	Evolution Skateboarding	English / French / German	PAL	2002-11-17	DOL-GESP-EUR
DOL-GEVJ-JPN	Shinki Sekai Evolutia	Japanese	NTSC-J	2002-07-26	DOL-GEVJ-JPN
DOL-GEWE-USA	Evolution Worlds	English	NTSC-U	2002	DOL-GEWE-USA
DOL-GEWP-EUR	Evolution Worlds	English	PAL	2002	DOL-GEWP-EUR
DOL-GEXE-USA	Disney's Extreme Skate Adventure	English	NTSC-U	2003-09	DOL-GEXE-USA
DOL-GEXP-UKV	Disney's Extreme Skate Adventure	English	PAL	2003-09	DOL-GEXP-UKV
DOL-GEXX-EUR	Disney's Extreme Skate Adventure	French / German	PAL	2003-09	DOL-GEXX-EUR
DOL-GEXY-EUR	Disney's Extreme Skate Adventure	Italian / Spanish	PAL	2003-09	DOL-GEXY-EUR
DOL-GEYE-USA	Fight Night Round 2	English	NTSC-U	2005-02-28	DOL-GEYE-USA
DOL-GEYJ-JPN	Fight Night Round 2	Japanese	NTSC-J	2005-02-28	DOL-GEYJ-JPN
DOL-GEYP-EUR	Fight Night Round 2	English / French / German	PAL	2005-02-28	DOL-GEYP-EUR
DOL-GEYP-NOE	Fight Night Round 2	English / French / German	PAL	2005-02-28	DOL-GEYP-NOE
DOL-GEZE-USA	Billy Hatcher and the Giant Egg	English	NTSC-U	2003-09-23	DOL-GEZE-USA
DOL-GEZP-EUR	Billy Hatcher and the Giant Egg	English / French / German / Italian / Japanese / Spanish	PAL	2003-09-23	DOL-GEZP-EUR
DOL-GF2E-USA	F1 2002	English / French / German / Italian	NTSC-U	2002-06-22	DOL-GF2E-USA
DOL-GF2P-EUR	F1 2002	English / French / German / Italian	PAL	2002-06-22	DOL-GF2P-EUR
DOL-GF3E-USA	NFL 2K3	English	NTSC-U	2002-08-21	DOL-GF3E-USA
DOL-GF3P-EUR	NFL 2K3	English	PAL	2002-08-21	DOL-GF3P-EUR
DOL-GF4D-NOE	Fantastic 4	German	PAL	2005-06-28	DOL-GF4D-NOE
DOL-GF4E-USA	Fantastic 4	English	NTSC-U	2005-06-28	DOL-GF4E-USA
DOL-GF4F-FRA	Les 4 Fantastiques	French	PAL	2005-07-15	DOL-GF4F-FRA
DOL-GF4H-HOL	Fantastic 4	Dutch	PAL	2005-06-28	DOL-GF4H-HOL
DOL-GF4I-ITA	I Fantastici 4	Italian	PAL	2005-07-15	DOL-GF4I-ITA
DOL-GF4P-UKV	Fantastic 4	English	PAL	2005-06-28	DOL-GF4P-UKV
DOL-GF4S-ESP	Fantastic 4	Spanish	PAL	2005-06-28	DOL-GF4S-ESP
DOL-GF5D-NOE	FIFA Football 2005	German	PAL	2004-10-08	DOL-GF5D-NOE
DOL-GF5E-USA	FIFA Soccer 2005	English / Spanish	NTSC-U	2004-10-12	DOL-GF5E-USA
DOL-GF5F-FRA	FIFA Football 2005	French	PAL	2004-10-08	DOL-GF5F-FRA
DOL-GF5H-HOL	FIFA Football 2005	Dutch	PAL	2004-10-08	DOL-GF5H-HOL
DOL-GF5I-ITA	FIFA Football 2005	Italian	PAL	2004-10-08	DOL-GF5I-ITA
DOL-GF5P-UKV	FIFA Football 2005	English	PAL	2004-10-08	DOL-GF5P-UKV
DOL-GF5S-ESP	FIFA Football 2005	Spanish	PAL	2004-10-08	DOL-GF5S-ESP
DOL-GF6D-NOE	FIFA 06	German	PAL	2005-09-30	DOL-GF6D-NOE
DOL-GF6E-USA	FIFA Soccer 06	English	NTSC-U	2005	DOL-GF6E-USA
DOL-GF6F-FRA	FIFA 06	French	PAL	2005-09-30	DOL-GF6F-FRA
DOL-GF6H-HOL	FIFA 06	Dutch	PAL	2005-09-30	DOL-GF6H-HOL
DOL-GF6I-ITA	FIFA 06	Italian	PAL	2005-09-30	DOL-GF6I-ITA
DOL-GF6P-UKV	FIFA 06	English	PAL	2005-09-30	DOL-GF6P-UKV
DOL-GF6S-ESP	FIFA 06	Spanish	PAL	2005-09-30	DOL-GF6S-ESP
DOL-GF7E-USA	Star Fox: Assault	English	NTSC-U	2005-02-14	DOL-GF7E-USA
DOL-GF7J-JPN	Star Fox: Assault	Japanese	NTSC-J	2005-02-24	DOL-GF7J-JPN
DOL-GF7P-EUR	Star Fox: Assault	English / French / German / Italian / Spanish	PAL	2005-04-29	DOL-GF7P-EUR
DOL-GF8E-USA	FIFA Street	English / Spanish	NTSC-U	2005-02-02	DOL-GF8E-USA
DOL-GF8P-EUR	FIFA Street	English / French / German	PAL	2005-02-02	DOL-GF8P-EUR
DOL-GFAD-NOE	FIFA Football 2003	German	PAL	2002-11-01	DOL-GFAD-NOE
DOL-GFAE-USA	FIFA Soccer 2003	English	NTSC-U	2002-10-30	DOL-GFAE-USA
DOL-GFAF-FRA	FIFA Football 2003	French	PAL	2002-11-01	DOL-GFAF-FRA
DOL-GFAI-ITA	FIFA Football 2003	Italian	PAL	2002-11-01	DOL-GFAI-ITA
DOL-GFAJ-JPN	FIFA 2003	Japanese	NTSC-J	2002-12-06	DOL-GFAJ-JPN
DOL-GFAP-UKV	FIFA Football 2003	English	PAL	2002-11-01	DOL-GFAP-UKV
DOL-GFAS-ESP	FIFA Football 2003	Spanish	PAL	2002-11-01	DOL-GFAS-ESP
DOL-GFBE-USA	Fire Blade	English	NTSC-U	2002-12-29	DOL-GFBE-USA
DOL-GFBP-EUR	Fire Blade	English / French / German / Italian / Spanish	PAL	2003-02-07	DOL-GFBP-EUR
DOL-GFCP-EUR	F1 Career Challenge	English / French / German / Italian	PAL	2003-06-26	DOL-GFCP-EUR
DOL-GFDD-NOE	Freedom Fighters	German	PAL	2003-09	DOL-GFDD-NOE
DOL-GFDE-USA	Freedom Fighters	English	NTSC-U	2003-09	DOL-GFDE-USA
DOL-GFDF-FRA	Freedom Fighters	French	PAL	2003-09	DOL-GFDF-FRA
DOL-GFDP-UKV	Freedom Fighters	English	PAL	2003-09	DOL-GFDP-UKV
DOL-GFEE-USA	Fire Emblem: Path of Radiance	English	NTSC-U	2005-04-20	DOL-GFEE-USA
DOL-GFEJ-JPN	Fire Emblem: Souen no Kiseki	Japanese	NTSC-J	2005-04-20	DOL-GFEJ-JPN
DOL-GFEP-EUR	Fire Emblem: Path of Radiance	English / French / German / Italian / Spanish	PAL	2005-04-20	DOL-GFEP-EUR
DOL-GFFE-USA	Freaky Flyers	English	NTSC-U	2003-08-04	DOL-GFFE-USA
DOL-GFGE-USA	Frogger Beyond	English	NTSC-U	2002-12-06	DOL-GFGE-USA
DOL-GFGJ-JPN	Frogger	Japanese	NTSC-J	2002-12-06	DOL-GFGJ-JPN
DOL-GFGP-EUR	Frogger Beyond	English / French / German / Italian / Spanish	PAL	2002-12-06	DOL-GFGP-EUR
