ID	title	region	serial
LA-H-A2W4A-USA	Cruis'n Blast	USA	LA-H-A2W4A-USA
LA-H-A2W8A-JPN	Earth Defence Force 2	JPN	LA-H-A2W8A-JPN
LA-H-A2WBA-JPN	Aria Chronicle	JPN	LA-H-A2WBA-JPN
LA-H-A2WLA-EUR	The World Ends with You: Final Remix	EUR	LA-H-A2WLA-EUR
LA-H-A2WLA-USA	The World Ends with You: Final Remix	USA	LA-H-A2WLA-USA
LA-H-A2XEA-JPN	Earth Defence Force 3	JPN	LA-H-A2XEA-JPN
LA-H-A2XJA-USA	Port Royale 4	USA	LA-H-A2XJA-USA
LA-H-A2YFA-EUR	Razion EX	EUR	LA-H-A2YFA-EUR
LA-H-A2YRB-ASI	Love Esquire	ASI	LA-H-A2YRB-ASI
LA-H-A2YYA-JPN	Earth Defense Force 4.1	JPN	LA-H-A2YYA-JPN
LA-H-A2ZBA-EUR	Aerial_Knight's Never Yield	EUR	LA-H-A2ZBA-EUR
LA-H-A2ZWA-USA	Spacebase Startopia	USA	LA-H-A2ZWA-USA
LA-H-A325A-JPN	Azure Striker Gunvolt 3	JPN	LA-H-A325A-JPN
LA-H-A325A-USA	Azure Striker Gunvolt 3	USA	LA-H-A325A-USA
LA-H-A327A-EUR	Mayhem Brawler	EUR	LA-H-A327A-EUR
LA-H-A32DA-EUR	The House of the Dead: Remake	EUR	LA-H-A32DA-EUR
LA-H-A32DA-USA	The House of the Dead: Remake	USA	LA-H-A32DA-USA
LA-H-A32DD-JPN	The House of the Dead: Remake: Z Version	JPN	LA-H-A32DD-JPN
LA-H-A334A-JPN	.hack//G.U. Last Recode	JPN	LA-H-A334A-JPN
LA-H-A334B-USA	.hack//G.U. Last Recode	USA	LA-H-A334B-USA
LA-H-A335B-USA	Demoniaca: Everlasting Night	USA	LA-H-A335B-USA
LA-H-A337A-JPN	Blaster Master Zero Trilogy: MetaFight Chronicle	JPN	LA-H-A337A-JPN
LA-H-A346A-USA	Ocean's Heart	USA	LA-H-A346A-USA
LA-H-A348A-EUR	UNMETAL	EUR	LA-H-A348A-EUR
LA-H-A349A-EUR	Ori: The Collection	EUR	LA-H-A349A-EUR
LA-H-A349A-USA	Ori: The Collection	USA	LA-H-A349A-USA
LA-H-A34CB-ASI	Eternal Radiance	ASI	LA-H-A34CB-ASI
LA-H-A34ZA-EUR	Rise Eterna	EUR	LA-H-A34ZA-EUR
LA-H-A35CA-USA	Undernauts: Labyrinth of Yomi	USA	LA-H-A35CA-USA
LA-H-A35CB-EUR	Undernauts: Labyrinth of Yomi	EUR	LA-H-A35CB-EUR
LA-H-A35XA-JPN	The Legend of Heroes: Trails of Cold Steel I Kai: / Thor's Military Academy 1204	JPN	LA-H-A35XA-JPN
LA-H-A37BA-USA	Super Sami Roll	USA	LA-H-A37BA-USA
LA-H-A389A-EUR	Just Dance 2021	EUR	LA-H-A389A-EUR
LA-H-A389A-USA	Just Dance 2022	USA	LA-H-A389A-USA
LA-H-A38JA-EUR	Flynn: Son of Crimson	EUR	LA-H-A38JA-EUR
LA-H-A39NA-EUR	Metal Unit	EUR	LA-H-A39NA-EUR
LA-H-A39TB-EUR	Cotton Guardian Force Saturn Tribute	EUR	LA-H-A39TB-EUR
LA-H-A39YA-USA	Unsighted	USA	LA-H-A39YA-USA
LA-H-A39ZA-EUR	Sonic Frontiers	EUR	LA-H-A39ZA-EUR
LA-H-A39ZA-USA	Sonic Frontiers	USA	LA-H-A39ZA-USA
LA-H-A3A2A-EUR	Clockwork Aquario	EUR	LA-H-A3A2A-EUR
LA-H-A3A9A-JPN	Overlord: Escape from Nazarick	JPN	LA-H-A3A9A-JPN
LA-H-A3AWA-JPN	Triangle Strategy	JPN	LA-H-A3AWA-JPN
LA-H-A3AWB-EUR	Triangle Strategy	EUR	LA-H-A3AWB-EUR
