ID	title	edition	language	redump_status	region	system	version
610-7158	Climax Landers: Motte ke! Minige Campaign	Tentou Download-ban	Japanese	Dumped from original media	Japan	DC	1.000
610-7159	Pro Yakyuu Team o Tamesou!	Famitsu Tokubetsuban	Japanese	Dumped from original media	Japan	DC	1.001
610-7160	Gundam Side Story 0079: Rise from the Ashes: Premium Disc	Original	Japanese	Dumped from original media	Japan	DC	1.000
610-7161	Street Fighter Zero 3: Saikyo-ryu Dojo	Tentou Taikenban	Japanese	Dumped from original media	Japan	DC	1.001
610-7164	Dorimaga GD Vol. 1	N/A	Japanese	2 and more dumps from original media [!]	Japan	DC	1.000
610-7164-02	Dorimaga GD Vol. 2 (Disc 1)	N/A	Japanese	2 and more dumps from original media [!]	Japan	DC	1.001
610-7164-03	Dorimaga GD Vol. 2 (Disc 2)	N/A	Japanese	2 and more dumps from original media [!]	Japan	DC	0.602
610-7164-04	Dorimaga GD Vol. 3	N/A	Japanese	2 and more dumps from original media [!]	Japan	DC	1.001
610-7164-05	Dorimaga GD Vol. 4	N/A	Japanese	2 and more dumps from original media [!]	Japan	DC	1.001
610-7164-06	Dorimaga GD Vol. 5	N/A	Japanese	Dumped from original media	Japan	DC	2.000
610-7164-07	Dorimaga GD Vol. 6	N/A	Japanese	Dumped from original media	Japan	DC	1.000
610-7164-08	Dorimaga GD Vol. 7	N/A	Japanese	Dumped from original media	Japan	DC	1.001
610-7164-09	Dorimaga GD Vol. 8	N/A	Japanese	Dumped from original media	Japan	DC	1.000
610-7164-10	Dorimaga GD Vol. 9	N/A	Japanese	2 and more dumps from original media [!]	Japan	DC	1.002
610-7164-11	Dorimaga GD Vol. 10	N/A	Japanese	Dumped from original media	Japan	DC	1.001
610-7164-12	Dorimaga GD Vol. 11	N/A	Japanese	2 and more dumps from original media [!]	Japan	DC	1.001
610-7164-13	Dorimaga GD Vol. 12	N/A	Japanese	2 and more dumps from original media [!]	Japan	DC	1.001
610-7173	Soulcalibur	Tentou Taikenban	Japanese	2 and more dumps from original media [!]	Japan	DC	0.601
610-7174	Cool Boarders Burrrn!	Taikenban	English	Dumped from original media	Japan	DC	1.000
610-7175	Soulcalibur	Book Bundle	Japanese	Dumped from original media	Japan	DC	0.600
610-7179	What's Shenmue: Yukawa (Moto) Senmu o Sagase	Demo, Famitsu-ban	Japanese	2 and more dumps from original media [!]	Japan	DC	1.004
610-7180	Dream Passport 2	Bundled with DC	Japanese	Dumped from original media	Japan	DC	1.102
610-7181	Star Gladiator 2: Nightmare of Bilstein	Tentou Taikenban	Japanese	Dumped from original media	Japan	DC	1.000
610-7183	Kidou Senkan Nadesico: Nadesico the Mission: Special Disc	Demo	Japanese	Dumped from original media	Japan	DC	N/A
610-7185	Espion-Age-nts	Tentou-you Demonstration Movie	Japanese	Dumped from original media	Japan	DC	1.000
